iter	Passed	Remaining
987	14823	180
988	14837	165
989	14851	150
990	14866	135
991	14881	120
992	14896	105
993	14911	90
994	14928	75
995	14945	60
996	14960	45
997	14975	30
998	14989	15
999	15004	0
